TID,ITEM_SET
58,"Watering Can,Rake,Fertilizer,Flower Seeds"
59,"Watering Can,Rake,Fertilizer,Shovel"
60,"Potting Soil,Garden Hose,Fertilizer,Planter"
61,"Watering Can,Rake,Garden Hose,Planter"
62,"Planter,Shovel,Garden Hose,Potting Soil"
63,"Planter,Rake,Gardening Gloves,Flower Seeds"
64,"Vegetable Seeds,Rake,Gardening Gloves,Flower Seeds"
65,"Rake,Vegetable Seeds,Fertilizer,Potting Soil"
66,"Watering Can,Potting Soil,Shovel,Flower Seeds"
67,"Rake,Shovel,Fertilizer,Planter"
68,"Shovel,Vegetable Seeds,Fertilizer,Gardening Gloves"
69,"Potting Soil,Rake,Vegetable Seeds,Flower Seeds"
70,"Fertilizer,Vegetable Seeds,Flower Seeds,Potting Soil"
71,"Watering Can,Vegetable Seeds,Fertilizer,Gardening Gloves"
72,"Watering Can,Shovel,Garden Hose,Flower Seeds"
73,"Watering Can,Shovel,Flower Seeds,Planter"
74,"Flower Seeds,Shovel,Rake,Potting Soil"
75,"Rake,Vegetable Seeds,Flower Seeds,Planter"
76,"Garden Hose,Vegetable Seeds,Fertilizer,Potting Soil"
77,"Watering Can,Rake,Potting Soil,Shovel"
78,"Watering Can,Shovel,Garden Hose,Flower Seeds"
79,"Watering Can,Gardening Gloves,Fertilizer,Potting Soil"
80,"Potting Soil,Vegetable Seeds,Fertilizer,Planter"
81,"Planter,Rake,Gardening Gloves,Vegetable Seeds"
82,"Watering Can,Rake,Garden Hose,Vegetable Seeds"
83,"Watering Can,Gardening Gloves,Fertilizer,Flower Seeds"
84,"Potting Soil,Rake,Garden Hose,Planter"
85,"Watering Can,Potting Soil,Garden Hose,Planter"
86,"Rake,Vegetable Seeds,Gardening Gloves,Shovel"
87,"Vegetable Seeds,Garden Hose,Flower Seeds,Potting Soil"
88,"Watering Can,Vegetable Seeds,Flower Seeds,Planter"
89,"Garden Hose,Shovel,Gardening Gloves,Flower Seeds"
90,"Planter,Shovel,Fertilizer,Potting Soil"
91,"Fertilizer,Shovel,Rake,Potting Soil"
92,"Gardening Gloves,Vegetable Seeds,Garden Hose,Flower Seeds"
93,"Shovel,Garden Hose,Rake,Gardening Gloves"
94,"Rake,Vegetable Seeds,Potting Soil,Shovel"
95,"Garden Hose,Shovel,Vegetable Seeds,Flower Seeds"
96,"Garden Hose,Vegetable Seeds,Fertilizer,Planter"
97,"Garden Hose,Vegetable Seeds,Fertilizer,Potting Soil"
98,"Garden Hose,Gardening Gloves,Fertilizer,Flower Seeds"
99,"Garden Hose,Vegetable Seeds,Fertilizer,Flower Seeds"
100,"Watering Can,Potting Soil,Garden Hose,Flower Seeds"
101,"Shovel,Garden Hose,Fertilizer,Flower Seeds"
102,"Planter,Rake,Vegetable Seeds,Potting Soil"
103,"Potting Soil,Rake,Vegetable Seeds,Gardening Gloves"
104,"Garden Hose,Vegetable Seeds,Fertilizer,Planter"
105,"Watering Can,Shovel,Garden Hose,Flower Seeds"
106,"Rake,Gardening Gloves,Fertilizer,Potting Soil"
107,"Watering Can,Garden Hose,Fertilizer,Planter"
108,"Shovel,Vegetable Seeds,Fertilizer,Planter"
109,"Shovel,Gardening Gloves,Fertilizer,Flower Seeds"
110,"Watering Can,Rake,Vegetable Seeds,Potting Soil"
111,"Shovel,Garden Hose,Fertilizer,Potting Soil"
112,"Potting Soil,Planter,Gardening Gloves,Flower Seeds"
113,"Watering Can,Shovel,Rake,Potting Soil"
114,"Watering Can,Potting Soil,Vegetable Seeds,Planter"
115,"Shovel,Gardening Gloves,Fertilizer,Potting Soil"
116,"Potting Soil,Garden Hose,Fertilizer,Planter"
117,"Garden Hose,Gardening Gloves,Flower Seeds,Vegetable Seeds"
118,"Watering Can,Shovel,Flower Seeds,Planter"
119,"Watering Can,Garden Hose,Gardening Gloves,Fertilizer"
120,"Vegetable Seeds,Garden Hose,Flower Seeds,Gardening Gloves"
121,"Shovel,Gardening Gloves,Rake,Potting Soil"
122,"Watering Can,Potting Soil,Fertilizer,Planter"
123,"Planter,Gardening Gloves,Flower Seeds,Potting Soil"
124,"Watering Can,Rake,Gardening Gloves,Vegetable Seeds"
125,"Shovel,Gardening Gloves,Rake,Flower Seeds"
126,"Watering Can,Garden Hose,Vegetable Seeds,Flower Seeds"
127,"Watering Can,Shovel,Fertilizer,Potting Soil"
128,"Potting Soil,Planter,Vegetable Seeds,Flower Seeds"
129,"Potting Soil,Gardening Gloves,Flower Seeds,Planter"
130,"Planter,Gardening Gloves,Flower Seeds,Vegetable Seeds"
131,"Watering Can,Shovel,Flower Seeds,Planter"
132,"Watering Can,Shovel,Rake,Potting Soil"
133,"Potting Soil,Shovel,Gardening Gloves,Planter"
134,"Watering Can,Vegetable Seeds,Fertilizer,Potting Soil"
135,"Watering Can,Potting Soil,Gardening Gloves,Flower Seeds"
136,"Watering Can,Vegetable Seeds,Garden Hose,Potting Soil"
137,"Planter,Rake,Garden Hose,Vegetable Seeds"
138,"Planter,Rake,Vegetable Seeds,Flower Seeds"
139,"Planter,Vegetable Seeds,Fertilizer,Flower Seeds"
140,"Planter,Shovel,Gardening Gloves,Flower Seeds"
141,"Garden Hose,Vegetable Seeds,Rake,Gardening Gloves"
142,"Shovel,Garden Hose,Fertilizer,Vegetable Seeds"
143,"Shovel,Gardening Gloves,Flower Seeds,Potting Soil"
144,"Watering Can,Vegetable Seeds,Flower Seeds,Planter"
145,"Watering Can,Shovel,Fertilizer,Potting Soil"
146,"Potting Soil,Shovel,Garden Hose,Gardening Gloves"
147,"Watering Can,Planter,Vegetable Seeds,Gardening Gloves"
148,"Watering Can,Shovel,Garden Hose,Gardening Gloves"
149,"Watering Can,Potting Soil,Garden Hose,Vegetable Seeds"
150,"Watering Can,Garden Hose,Gardening Gloves,Flower Seeds"
151,"Watering Can,Shovel,Gardening Gloves,Vegetable Seeds"
152,"Watering Can,Gardening Gloves,Fertilizer,Flower Seeds"
153,"Vegetable Seeds,Gardening Gloves,Flower Seeds,Planter"
154,"Watering Can,Shovel,Fertilizer,Planter"
155,"Planter,Gardening Gloves,Flower Seeds,Vegetable Seeds"
156,"Potting Soil,Garden Hose,Flower Seeds,Gardening Gloves"
157,"Watering Can,Garden Hose,Fertilizer,Potting Soil"
158,"Planter,Rake,Flower Seeds,Shovel"
159,"Garden Hose,Shovel,Vegetable Seeds,Rake"
160,"Rake,Fertilizer,Flower Seeds,Shovel"
161,"Watering Can,Shovel,Gardening Gloves,Flower Seeds"
162,"Watering Can,Rake,Vegetable Seeds,Potting Soil"
163,"Fertilizer,Garden Hose,Flower Seeds,Vegetable Seeds"
164,"Watering Can,Gardening Gloves,Flower Seeds,Vegetable Seeds"
165,"Rake,Gardening Gloves,Fertilizer,Flower Seeds"
166,"Watering Can,Shovel,Gardening Gloves,Planter"
167,"Planter,Shovel,Vegetable Seeds,Potting Soil"
168,"Watering Can,Shovel,Garden Hose,Potting Soil"
169,"Gardening Gloves,Rake,Vegetable Seeds,Potting Soil"
170,"Potting Soil,Gardening Gloves,Flower Seeds,Planter"
171,"Potting Soil,Rake,Garden Hose,Flower Seeds"
172,"Watering Can,Garden Hose,Flower Seeds,Potting Soil"
173,"Garden Hose,Gardening Gloves,Fertilizer,Potting Soil"
174,"Potting Soil,Rake,Garden Hose,Flower Seeds"
175,"Garden Hose,Gardening Gloves,Flower Seeds,Potting Soil"
176,"Planter,Shovel,Garden Hose,Flower Seeds"
177,"Garden Hose,Shovel,Vegetable Seeds,Flower Seeds"
178,"Shovel,Garden Hose,Fertilizer,Planter"
179,"Garden Hose,Vegetable Seeds,Fertilizer,Planter"
180,"Watering Can,Rake,Vegetable Seeds,Potting Soil"
181,"Shovel,Gardening Gloves,Flower Seeds,Planter"
182,"Shovel,Vegetable Seeds,Rake,Potting Soil"
183,"Rake,Vegetable Seeds,Fertilizer,Potting Soil"
184,"Watering Can,Rake,Flower Seeds,Planter"
185,"Planter,Gardening Gloves,Fertilizer,Flower Seeds"
186,"Potting Soil,Vegetable Seeds,Flower Seeds,Gardening Gloves"
187,"Gardening Gloves,Garden Hose,Vegetable Seeds,Potting Soil"
188,"Watering Can,Potting Soil,Fertilizer,Flower Seeds"
189,"Vegetable Seeds,Garden Hose,Gardening Gloves,Potting Soil"
190,"Watering Can,Gardening Gloves,Fertilizer,Potting Soil"
191,"Watering Can,Potting Soil,Shovel,Planter"
192,"Gardening Gloves,Rake,Garden Hose,Planter"
193,"Planter,Rake,Vegetable Seeds,Gardening Gloves"
194,"Watering Can,Rake,Fertilizer,Planter"
195,"Watering Can,Garden Hose,Flower Seeds,Planter"
196,"Rake,Garden Hose,Fertilizer,Potting Soil"
197,"Watering Can,Planter,Shovel,Flower Seeds"
198,"Garden Hose,Shovel,Gardening Gloves,Planter"
199,"Watering Can,Shovel,Vegetable Seeds,Potting Soil"
200,"Planter,Garden Hose,Vegetable Seeds,Gardening Gloves"
