TID,ITEM_SET
50,"Fish Tank,Scratching Post,Chew Toys,Flea Collar"
51,"Fish Tank,Scratching Post,Cat Litter,Pet Shampoo"
52,"Fish Tank,Chew Toys,Dog Food,Flea Collar"
53,"Fish Tank,Chew Toys,Dog Food,Flea Collar"
54,"Scratching Post,Cat Litter,Pet Bed,Dog Food"
55,"Scratching Post,Cat Litter,Dog Food,Flea Collar"
56,"Fish Tank,Pet Shampoo,Chew Toys,Dog Food"
57,"Fish Tank,Pet Shampoo,Cat Litter,Dog Food"
58,"Scratching Post,Cat Litter,Pet Bed,Leash"
59,"Pet Shampoo,Chew Toys,Dog Food,Leash"
60,"Fish Tank,Scratching Post,Dog Food,Flea Collar"
61,"Fish Tank,Cat Litter,Leash,Flea Collar"
62,"Fish Tank,Pet Shampoo,Pet Bed,Flea Collar"
63,"Pet Shampoo,Dog Food,Cat Litter,Leash"
64,"Fish Tank,Scratching Post,Cat Litter,Pet Bed"
65,"Scratching Post,Cat Litter,Chew Toys,Leash"
66,"Fish Tank,Pet Shampoo,Chew Toys,Flea Collar"
67,"Fish Tank,Cat Litter,Leash,Flea Collar"
68,"Pet Shampoo,Cat Litter,Scratching Post,Dog Food"
69,"Fish Tank,Cat Litter,Dog Food,Flea Collar"
70,"Cat Litter,Chew Toys,Pet Bed,Leash"
71,"Cat Litter,Pet Bed,Dog Food,Flea Collar"
72,"Fish Tank,Scratching Post,Pet Shampoo,Flea Collar"
73,"Fish Tank,Chew Toys,Dog Food,Flea Collar"
74,"Cat Litter,Chew Toys,Pet Shampoo,Flea Collar"
75,"Fish Tank,Cat Litter,Chew Toys,Leash"
76,"Fish Tank,Pet Shampoo,Pet Bed,Dog Food"
77,"Scratching Post,Cat Litter,Chew Toys,Flea Collar"
78,"Fish Tank,Chew Toys,Dog Food,Flea Collar"
79,"Cat Litter,Pet Bed,Pet Shampoo,Leash"
80,"Scratching Post,Cat Litter,Leash,Flea Collar"
81,"Fish Tank,Cat Litter,Pet Bed,Leash"
82,"Fish Tank,Scratching Post,Leash,Flea Collar"
83,"Pet Shampoo,Cat Litter,Pet Bed,Dog Food"
84,"Fish Tank,Cat Litter,Pet Shampoo,Dog Food"
85,"Scratching Post,Cat Litter,Chew Toys,Pet Shampoo"
86,"Fish Tank,Pet Shampoo,Leash,Dog Food"
87,"Scratching Post,Pet Bed,Chew Toys,Cat Litter"
88,"Chew Toys,Cat Litter,Pet Bed,Flea Collar"
89,"Pet Shampoo,Chew Toys,Leash,Dog Food"
90,"Fish Tank,Cat Litter,Chew Toys,Flea Collar"
91,"Scratching Post,Pet Shampoo,Chew Toys,Dog Food"
92,"Scratching Post,Chew Toys,Dog Food,Leash"
93,"Fish Tank,Pet Bed,Leash,Flea Collar"
94,"Pet Bed,Leash,Flea Collar,Dog Food"
95,"Fish Tank,Chew Toys,Dog Food,Leash"
96,"Scratching Post,Pet Shampoo,Cat Litter,Flea Collar"
97,"Fish Tank,Pet Bed,Dog Food,Leash"
98,"Fish Tank,Chew Toys,Dog Food,Flea Collar"
99,"Pet Shampoo,Cat Litter,Leash,Flea Collar"
100,"Scratching Post,Cat Litter,Pet Bed,Dog Food"
101,"Pet Bed,Cat Litter,Chew Toys,Leash"
102,"Pet Shampoo,Cat Litter,Chew Toys,Dog Food"
103,"Chew Toys,Cat Litter,Pet Bed,Scratching Post"
104,"Pet Shampoo,Chew Toys,Pet Bed,Flea Collar"
105,"Pet Shampoo,Chew Toys,Dog Food,Flea Collar"
106,"Fish Tank,Pet Shampoo,Chew Toys,Leash"
107,"Fish Tank,Pet Shampoo,Dog Food,Leash"
108,"Scratching Post,Cat Litter,Chew Toys,Flea Collar"
109,"Fish Tank,Scratching Post,Pet Bed,Leash"
110,"Scratching Post,Cat Litter,Pet Bed,Pet Shampoo"
111,"Scratching Post,Chew Toys,Dog Food,Flea Collar"
112,"Cat Litter,Chew Toys,Leash,Dog Food"
113,"Fish Tank,Cat Litter,Chew Toys,Pet Shampoo"
114,"Chew Toys,Scratching Post,Pet Bed,Leash"
115,"Chew Toys,Cat Litter,Pet Bed,Leash"
116,"Fish Tank,Scratching Post,Dog Food,Flea Collar"
117,"Fish Tank,Pet Bed,Leash,Flea Collar"
118,"Scratching Post,Cat Litter,Chew Toys,Dog Food"
119,"Fish Tank,Scratching Post,Pet Shampoo,Pet Bed"
120,"Scratching Post,Cat Litter,Chew Toys,Leash"
121,"Scratching Post,Cat Litter,Pet Bed,Dog Food"
122,"Scratching Post,Cat Litter"
123,"Fish Tank,Pet Shampoo,Chew Toys,Dog Food"
124,"Scratching Post,Pet Shampoo,Dog Food,Flea Collar"
125,"Fish Tank,Cat Litter,Chew Toys,Dog Food"
126,"Scratching Post,Cat Litter,Dog Food,Flea Collar"
127,"Cat Litter,Pet Shampoo,Leash,Flea Collar"
128,"Scratching Post,Cat Litter,Chew Toys,Flea Collar"
129,"Scratching Post,Pet Shampoo,Pet Bed,Chew Toys"
130,"Scratching Post,Pet Shampoo,Pet Bed,Leash"
131,"Fish Tank,Scratching Post,Pet Shampoo,Flea Collar"
132,"Fish Tank,Pet Bed,Dog Food,Flea Collar"
133,"Fish Tank,Scratching Post,Pet Shampoo,Pet Bed"
134,"Cat Litter,Pet Bed,Leash,Flea Collar"
135,"Pet Shampoo,Pet Bed,Cat Litter,Dog Food"
136,"Fish Tank,Pet Shampoo,Dog Food,Leash"
137,"Cat Litter,Pet Bed,Leash,Flea Collar"
138,"Pet Shampoo,Chew Toys,Dog Food,Flea Collar"
139,"Flea Collar,Scratching Post,Pet Bed,Chew Toys"
140,"Fish Tank,Cat Litter,Leash,Dog Food"
141,"Fish Tank,Pet Shampoo,Pet Bed,Dog Food"
142,"Scratching Post,Cat Litter,Chew Toys,Dog Food"
143,"Cat Litter,Chew Toys,Dog Food,Leash"
144,"Scratching Post,Pet Shampoo,Leash,Flea Collar"
145,"Pet Shampoo,Chew Toys,Leash,Flea Collar"
146,"Pet Bed,Chew Toys,Leash,Dog Food"
147,"Cat Litter,Dog Food,Flea Collar,Leash"
148,"Fish Tank,Pet Shampoo,Cat Litter,Flea Collar"
149,"Cat Litter,Chew Toys,Leash,Dog Food"
150,"Fish Tank,Scratching Post,Pet Shampoo,Pet Bed"
151,"Pet Shampoo,Cat Litter,Scratching Post,Leash"
152,"Fish Tank,Pet Shampoo,Leash,Dog Food"
153,"Scratching Post,Pet Shampoo,Leash,Dog Food"
154,"Fish Tank,Scratching Post,Chew Toys,Dog Food"
155,"Fish Tank,Scratching Post,Cat Litter,Dog Food"
156,"Fish Tank,Pet Shampoo,Cat Litter,Flea Collar"
157,"Fish Tank,Pet Bed,Leash,Dog Food"
158,"Fish Tank,Scratching Post,Pet Bed,Chew Toys"
159,"Fish Tank,Scratching Post,Cat Litter,Chew Toys"
160,"Fish Tank,Scratching Post,Pet Shampoo,Leash"
161,"Scratching Post,Pet Shampoo,Leash,Flea Collar"
162,"Scratching Post,Pet Shampoo,Chew Toys,Dog Food"
163,"Fish Tank,Scratching Post,Chew Toys,Flea Collar"
164,"Pet Shampoo,Cat Litter,Scratching Post,Dog Food"
165,"Pet Shampoo,Cat Litter,Chew Toys,Leash"
166,"Fish Tank,Pet Shampoo,Chew Toys,Leash"
167,"Fish Tank,Pet Shampoo,Dog Food,Leash"
168,"Scratching Post,Cat Litter,Chew Toys,Dog Food"
169,"Scratching Post,Pet Shampoo,Chew Toys,Dog Food"
170,"Scratching Post,Cat Litter,Chew Toys,Dog Food"
171,"Cat Litter,Pet Bed,Dog Food,Leash"
172,"Pet Bed,Chew Toys,Dog Food,Flea Collar"
173,"Pet Bed,Chew Toys,Dog Food,Flea Collar"
174,"Scratching Post,Cat Litter,Pet Bed,Leash"
175,"Scratching Post,Pet Shampoo,Cat Litter,Flea Collar"
176,"Fish Tank,Scratching Post,Cat Litter,Chew Toys"
177,"Cat Litter,Chew Toys,Dog Food,Leash"
178,"Fish Tank,Pet Bed,Leash,Flea Collar"
179,"Chew Toys,Pet Shampoo,Pet Bed,Cat Litter"
180,"Fish Tank,Pet Bed,Leash,Dog Food"
181,"Scratching Post,Cat Litter,Flea Collar"
182,"Scratching Post,Pet Shampoo,Chew Toys,Flea Collar"
183,"Fish Tank,Scratching Post,Cat Litter,Pet Shampoo"
184,"Scratching Post,Cat Litter,Pet Bed,Chew Toys"
185,"Scratching Post,Cat Litter,Pet Shampoo,Leash"
186,"Scratching Post,Pet Shampoo,Leash,Dog Food"
187,"Scratching Post,Cat Litter,Chew Toys,Dog Food"
188,"Fish Tank,Chew Toys,Leash,Dog Food"
189,"Fish Tank,Scratching Post,Dog Food,Flea Collar"
190,"Pet Shampoo,Cat Litter,Leash,Flea Collar"
191,"Scratching Post,Pet Shampoo,Chew Toys,Dog Food"
192,"Scratching Post,Pet Shampoo,Chew Toys,Flea Collar"
193,"Pet Shampoo,Cat Litter,Chew Toys,Dog Food"
194,"Scratching Post,Pet Bed,Dog Food,Flea Collar"
195,"Pet Shampoo,Chew Toys,Leash,Dog Food"
196,"Pet Bed,Chew Toys,Leash,Dog Food"
197,"Fish Tank,Chew Toys,Leash,Dog Food"
198,"Pet Bed,Chew Toys,Leash,Dog Food"
199,"Scratching Post,Leash,Flea Collar,Dog Food"
200,"Pet Bed,Chew Toys,Dog Food,Leash"
