TID,ITEM_SET
73,"Wireless Mouse,Smart TV,Laptop,Tablet"
74,"Wireless Mouse,Laptop,Smartphone,Gaming Console"
75,"Headphones,External Hard Drive,Smartwatch,Laptop"
76,"Wireless Mouse,Smart TV,External Hard Drive,Gaming Console"
77,"Laptop,Smartphone,Smart TV,Gaming Console"
78,"Headphones,Laptop,Smartphone,Gaming Console"
79,"Headphones,Laptop,Smartphone,Wireless Mouse"
80,"Headphones,Laptop,Smart TV,Gaming Console"
81,"Smartwatch,External Hard Drive,Smartphone,Tablet"
82,"Headphones,Laptop,Smartwatch,External Hard Drive"
83,"Headphones,Smart TV,External Hard Drive,Tablet"
84,"Headphones,Laptop,Wireless Mouse,Tablet"
85,"Headphones,Smart TV,Smartphone,Tablet"
86,"Headphones,Laptop,Smart TV,Gaming Console"
87,"Wireless Mouse,External Hard Drive,Smartphone,Tablet"
88,"Wireless Mouse,Smart TV,Smartphone,Smartwatch"
89,"Laptop,Smartphone,Tablet,Gaming Console"
90,"Wireless Mouse,External Hard Drive,Smartphone,Smartwatch"
91,"Smart TV,Smartphone,Laptop,Gaming Console"
92,"Wireless Mouse,External Hard Drive,Headphones,Tablet"
93,"Smartwatch,Laptop,Smartphone,Smart TV"
94,"Laptop,Smartwatch,External Hard Drive,Smartphone"
95,"Smart TV,External Hard Drive,Tablet,Gaming Console"
96,"Headphones,External Hard Drive,Smart TV,Gaming Console"
97,"Wireless Mouse,Laptop,Smartphone,Tablet"
98,"Smart TV,Smartwatch,Smartphone,Gaming Console"
99,"Headphones,Smart TV,Smartphone,Gaming Console"
100,"Headphones,Smartphone,Smartwatch,Tablet"
101,"Headphones,Laptop,Smartwatch,Wireless Mouse"
102,"Wireless Mouse,Smartwatch,Headphones,Smartphone"
103,"Headphones,Smartwatch,Smartphone,Tablet"
104,"Wireless Mouse,External Hard Drive,Smartphone,Smart TV"
105,"Headphones,Laptop,Smartwatch,External Hard Drive"
106,"Wireless Mouse,Laptop,Smartphone,Gaming Console"
107,"Wireless Mouse,External Hard Drive,Smartwatch,Tablet"
108,"Wireless Mouse,Laptop,External Hard Drive"
109,"Wireless Mouse,Laptop,Smartphone,External Hard Drive"
110,"Headphones,Smart TV,Smartphone,External Hard Drive"
111,"Wireless Mouse,External Hard Drive,Tablet,Gaming Console"
112,"Headphones,Laptop,Wireless Mouse,External Hard Drive"
113,"Wireless Mouse,External Hard Drive,Smartwatch,Smartphone"
114,"Wireless Mouse,Smart TV,Smartwatch,Smartphone"
115,"Headphones,Smart TV,Smartwatch,Gaming Console"
116,"External Hard Drive,Smartwatch,Laptop,Tablet"
117,"Wireless Mouse,External Hard Drive,Smartwatch,Smartphone"
118,"Headphones,Smart TV,Smartphone,Wireless Mouse"
119,"Wireless Mouse,Smartwatch,Headphones,Tablet"
120,"Headphones,External Hard Drive,Smartphone,Smart TV"
121,"Wireless Mouse,Laptop,Smartwatch,External Hard Drive"
122,"Wireless Mouse,Laptop,External Hard Drive,Tablet"
123,"Wireless Mouse,Laptop,Smartphone,External Hard Drive"
124,"Headphones,Smart TV,Smartwatch,Smartphone"
125,"Headphones,Smartwatch,Smartphone,Gaming Console"
126,"Headphones,Laptop,Wireless Mouse,Tablet"
127,"Smartwatch,Smartphone,Wireless Mouse,Headphones"
128,"Headphones,Laptop,Smartwatch,Tablet"
129,"Wireless Mouse,Smart TV,Smartwatch,Smartphone"
130,"Laptop,Smartwatch,Smart TV,Smartphone"
131,"Wireless Mouse,Laptop,External Hard Drive,Gaming Console"
132,"Wireless Mouse,External Hard Drive,Smartwatch,Laptop"
133,"External Hard Drive,Smartphone,Laptop,Gaming Console"
134,"Laptop,Smartphone,Smart TV,Gaming Console"
135,"Headphones,Laptop,External Hard Drive,Tablet"
136,"Headphones,Smartphone,Wireless Mouse,Tablet"
137,"Wireless Mouse,External Hard Drive,Smartphone,Gaming Console"
138,"Wireless Mouse,Laptop,Smartwatch,Tablet"
139,"Headphones,External Hard Drive,Smartphone,Laptop"
140,"Headphones,Smartwatch,Smartphone,Gaming Console"
141,"Headphones,External Hard Drive,Smartwatch,Tablet"
142,"Headphones,External Hard Drive,Smartphone,Wireless Mouse"
143,"Laptop,Smartphone,External Hard Drive,Tablet"
144,"Wireless Mouse,External Hard Drive,Smartphone,Smartwatch"
145,"Wireless Mouse,Laptop,External Hard Drive,Gaming Console"
146,"Headphones,Smartwatch,Wireless Mouse,Tablet"
147,"Wireless Mouse,External Hard Drive,Smartphone,Headphones"
148,"Headphones,External Hard Drive,Smartphone,Wireless Mouse"
149,"Wireless Mouse,Laptop,Smartphone,Tablet"
150,"Wireless Mouse,External Hard Drive,Smartphone,Smart TV"
151,"Headphones,Smart TV,Laptop,Gaming Console"
152,"Wireless Mouse,External Hard Drive,Smartwatch,Smartphone"
153,"Wireless Mouse,Smart TV,External Hard Drive,Laptop"
154,"Wireless Mouse,External Hard Drive,Smartphone,Laptop"
155,"Headphones,Smart TV,Smartphone,Gaming Console"
156,"Headphones,Laptop,External Hard Drive,Tablet"
157,"Headphones,Laptop,External Hard Drive,Smart TV"
158,"Wireless Mouse,External Hard Drive,Smartphone,Gaming Console"
159,"Wireless Mouse,Smartwatch,Tablet,Gaming Console"
160,"Wireless Mouse,Laptop,Smartphone,External Hard Drive"
161,"Headphones,Laptop,Smartphone,Gaming Console"
162,"Headphones,Laptop,Smartwatch,Gaming Console"
163,"Smartwatch,Smartphone,Wireless Mouse,Headphones"
164,"Headphones,Smartwatch,Tablet,Gaming Console"
165,"Headphones,Smartwatch,Smartphone,Gaming Console"
166,"Wireless Mouse,Laptop,Tablet,Gaming Console"
167,"Smartwatch,Smart TV,Smartphone,Headphones"
168,"Headphones,Smart TV,Smartphone,Tablet"
169,"Laptop,Smartwatch,External Hard Drive,Tablet"
170,"Headphones,External Hard Drive,Laptop,Tablet"
171,"Headphones,Laptop,External Hard Drive,Smart TV"
172,"External Hard Drive,Smartwatch,Laptop,Tablet"
173,"Headphones,Laptop,Smartphone,Tablet"
174,"Laptop,Smartphone,External Hard Drive,Gaming Console"
175,"Laptop,Smartphone,External Hard Drive,Tablet"
176,"Wireless Mouse,External Hard Drive,Smartwatch,Tablet"
177,"Wireless Mouse,Laptop,External Hard Drive,Gaming Console"
178,"Headphones,External Hard Drive,Smartwatch,Tablet"
179,"Smart TV,External Hard Drive,Laptop,Gaming Console"
180,"Headphones,Smartwatch,Wireless Mouse,Tablet"
181,"Headphones,External Hard Drive,Smartphone,Tablet"
182,"Headphones,Smartphone,Wireless Mouse,Gaming Console"
183,"Headphones,Laptop,Smartwatch,External Hard Drive"
184,"Smartwatch,Laptop,Smartphone,Tablet"
185,"Headphones,External Hard Drive,Wireless Mouse,Tablet"
186,"Wireless Mouse,External Hard Drive,Smartwatch,Smartphone"
187,"Headphones,External Hard Drive,Smartphone,Tablet"
188,"Wireless Mouse,External Hard Drive,Smartphone,Smart TV"
189,"Laptop,Smartphone,External Hard Drive,Tablet"
190,"Wireless Mouse,Laptop,External Hard Drive,Headphones"
191,"Wireless Mouse,Smart TV,Laptop,Gaming Console"
192,"Headphones,Smart TV,Smartphone,Wireless Mouse"
193,"Wireless Mouse,Laptop,Smartwatch,Tablet"
194,"Wireless Mouse,Laptop,External Hard Drive,Gaming Console"
195,"Headphones,External Hard Drive,Smartwatch,Gaming Console"
196,"Wireless Mouse,Smartwatch,Smartphone,Tablet"
197,"Laptop,Smartwatch,Smartphone,Gaming Console"
198,"Headphones,External Hard Drive,Laptop,Tablet"
199,"Headphones,Smartwatch,Wireless Mouse,Smartphone"
200,"Wireless Mouse,External Hard Drive,Smartphone,Tablet"
