TID,ITEM_SET
82,"Yoga Pants,Water Bottle,Running Shoes,Moisture-Wicking T-shirt"
83,"Yoga Pants,Sports Bra,Compression Socks,Moisture-Wicking T-shirt"
84,"Yoga Pants,Sports Bra,Gym Bag,Compression Socks"
85,"Yoga Pants,Running Shoes,Gym Bag,Athletic Shorts"
86,"Athletic Shorts,Sports Bra,Yoga Pants,Sweatband"
87,"Athletic Shorts,Water Bottle,Gym Bag,Moisture-Wicking T-shirt"
88,"Yoga Pants,Sports Bra,Athletic Shorts,Compression Socks"
89,"Yoga Pants,Running Shoes,Moisture-Wicking T-shirt,Sweatband"
90,"Athletic Shorts,Running Shoes,Yoga Pants,Sweatband"
91,"Sports Bra,Gym Bag,Yoga Pants,Moisture-Wicking T-shirt"
92,"Yoga Pants,Running Shoes,Athletic Shorts,Moisture-Wicking T-shirt"
93,"Yoga Pants,Water Bottle,Sports Bra,Moisture-Wicking T-shirt"
94,"Athletic Shorts,Water Bottle,Yoga Pants,Sports Bra"
95,"Sports Bra,Compression Socks,Moisture-Wicking T-shirt,Sweatband"
96,"Athletic Shorts,Running Shoes,Sports Bra,Moisture-Wicking T-shirt"
97,"Running Shoes,Sports Bra,Moisture-Wicking T-shirt,Sweatband"
98,"Gym Bag,Running Shoes,Compression Socks,Moisture-Wicking T-shirt"
99,"Athletic Shorts,Yoga Pants,Compression Socks,Moisture-Wicking T-shirt"
100,"Sports Bra,Water Bottle,Gym Bag,Athletic Shorts"
101,"Athletic Shorts,Compression Socks,Moisture-Wicking T-shirt,Sweatband"
102,"Athletic Shorts,Running Shoes,Compression Socks,Moisture-Wicking T-shirt"
103,"Athletic Shorts,Running Shoes,Yoga Pants,Moisture-Wicking T-shirt"
104,"Gym Bag,Running Shoes,Compression Socks,Moisture-Wicking T-shirt"
105,"Yoga Pants,Running Shoes,Sports Bra,Sweatband"
106,"Yoga Pants,Gym Bag,Compression Socks,Moisture-Wicking T-shirt"
107,"Running Shoes,Gym Bag,Yoga Pants,Moisture-Wicking T-shirt"
108,"Yoga Pants,Water Bottle,Sports Bra,Gym Bag"
109,"Running Shoes,Water Bottle,Sports Bra,Yoga Pants"
110,"Yoga Pants,Gym Bag,Athletic Shorts,Sports Bra"
111,"Yoga Pants,Sports Bra,Gym Bag,Athletic Shorts"
112,"Athletic Shorts,Running Shoes,Moisture-Wicking T-shirt,Sweatband"
113,"Athletic Shorts,Running Shoes,Gym Bag,Moisture-Wicking T-shirt"
114,"Sports Bra,Water Bottle,Running Shoes,Athletic Shorts"
115,"Sports Bra,Water Bottle,Running Shoes,Moisture-Wicking T-shirt"
116,"Athletic Shorts,Running Shoes,Sports Bra,Gym Bag"
117,"Running Shoes,Sports Bra,Gym Bag,Moisture-Wicking T-shirt"
118,"Yoga Pants,Running Shoes,Sports Bra,Moisture-Wicking T-shirt"
119,"Gym Bag,Athletic Shorts,Running Shoes,Compression Socks"
120,"Athletic Shorts,Running Shoes,Gym Bag,Moisture-Wicking T-shirt"
121,"Sports Bra,Running Shoes,Compression Socks,Moisture-Wicking T-shirt"
122,"Running Shoes,Sports Bra,Yoga Pants,Moisture-Wicking T-shirt"
123,"Athletic Shorts,Gym Bag,Yoga Pants,Sports Bra"
124,"Athletic Shorts,Running Shoes,Moisture-Wicking T-shirt,Sweatband"
125,"Athletic Shorts,Water Bottle,Running Shoes,Yoga Pants"
126,"Yoga Pants,Water Bottle,Sports Bra,Gym Bag"
127,"Water Bottle,Gym Bag,Moisture-Wicking T-shirt,Sweatband"
128,"Athletic Shorts,Running Shoes,Sports Bra,Sweatband"
129,"Water Bottle,Running Shoes,Compression Socks,Sweatband"
130,"Gym Bag,Running Shoes,Sports Bra,Yoga Pants"
131,"Yoga Pants,Running Shoes,Gym Bag,Moisture-Wicking T-shirt"
132,"Running Shoes,Compression Socks,Moisture-Wicking T-shirt,Sweatband"
133,"Yoga Pants,Water Bottle,Sports Bra,Moisture-Wicking T-shirt"
134,"Gym Bag,Running Shoes,Athletic Shorts,Moisture-Wicking T-shirt"
135,"Yoga Pants,Running Shoes,Gym Bag,Compression Socks"
136,"Athletic Shorts,Running Shoes,Gym Bag,Sweatband"
137,"Gym Bag,Sports Bra,Compression Socks,Sweatband"
138,"Athletic Shorts,Running Shoes,Sports Bra,Sweatband"
139,"Athletic Shorts,Water Bottle,Sports Bra,Moisture-Wicking T-shirt"
140,"Yoga Pants,Water Bottle,Gym Bag,Moisture-Wicking T-shirt"
141,"Athletic Shorts,Water Bottle,Compression Socks,Moisture-Wicking T-shirt"
142,"Gym Bag,Sports Bra,Moisture-Wicking T-shirt,Sweatband"
143,"Athletic Shorts,Water Bottle,Sports Bra,Yoga Pants"
144,"Athletic Shorts,Running Shoes,Compression Socks,Moisture-Wicking T-shirt"
145,"Athletic Shorts,Running Shoes,Sports Bra,Moisture-Wicking T-shirt"
146,"Yoga Pants,Gym Bag,Compression Socks,Moisture-Wicking T-shirt"
147,"Yoga Pants,Water Bottle,Gym Bag,Moisture-Wicking T-shirt"
148,"Running Shoes,Sports Bra,Compression Socks,Moisture-Wicking T-shirt"
149,"Running Shoes,Gym Bag,Compression Socks,Moisture-Wicking T-shirt"
150,"Yoga Pants,Running Shoes,Sports Bra,Athletic Shorts"
151,"Yoga Pants,Water Bottle,Running Shoes,Moisture-Wicking T-shirt"
152,"Yoga Pants,Athletic Shorts,Running Shoes,Compression Socks"
153,"Running Shoes,Gym Bag,Moisture-Wicking T-shirt,Sweatband"
154,"Athletic Shorts,Running Shoes,Gym Bag,Moisture-Wicking T-shirt"
155,"Sports Bra,Running Shoes,Compression Socks,Sweatband"
156,"Water Bottle,Running Shoes,Compression Socks,Moisture-Wicking T-shirt"
157,"Sports Bra,Gym Bag,Moisture-Wicking T-shirt,Sweatband"
158,"Yoga Pants,Water Bottle,Sports Bra,Compression Socks"
159,"Yoga Pants,Water Bottle,Running Shoes,Moisture-Wicking T-shirt"
160,"Yoga Pants,Water Bottle,Compression Socks,Moisture-Wicking T-shirt"
161,"Athletic Shorts,Yoga Pants,Compression Socks,Sweatband"
162,"Athletic Shorts,Running Shoes,Sports Bra,Moisture-Wicking T-shirt"
163,"Athletic Shorts,Running Shoes,Yoga Pants,Gym Bag"
164,"Athletic Shorts,Water Bottle,Running Shoes,Sports Bra"
165,"Yoga Pants,Sports Bra,Athletic Shorts,Moisture-Wicking T-shirt"
166,"Running Shoes,Sports Bra,Gym Bag,Compression Socks"
167,"Yoga Pants,Running Shoes,Athletic Shorts,Sweatband"
168,"Athletic Shorts,Water Bottle,Gym Bag,Moisture-Wicking T-shirt"
169,"Yoga Pants,Running Shoes,Compression Socks,Moisture-Wicking T-shirt"
170,"Yoga Pants,Running Shoes,Moisture-Wicking T-shirt,Sweatband"
171,"Yoga Pants,Water Bottle,Sports Bra,Sweatband"
172,"Gym Bag,Water Bottle,Sports Bra,Sweatband"
173,"Yoga Pants,Water Bottle,Sports Bra,Moisture-Wicking T-shirt"
174,"Yoga Pants,Running Shoes,Sports Bra,Sweatband"
175,"Athletic Shorts,Sports Bra,Gym Bag,Compression Socks"
176,"Yoga Pants,Water Bottle,Running Shoes,Moisture-Wicking T-shirt"
177,"Yoga Pants,Running Shoes,Compression Socks,Moisture-Wicking T-shirt"
178,"Athletic Shorts,Water Bottle,Sports Bra,Running Shoes"
179,"Athletic Shorts,Water Bottle,Yoga Pants,Sports Bra"
180,"Yoga Pants,Running Shoes,Gym Bag,Sweatband"
181,"Gym Bag,Water Bottle,Sports Bra,Yoga Pants"
182,"Gym Bag,Running Shoes,Athletic Shorts,Sweatband"
183,"Yoga Pants,Water Bottle,Running Shoes,Sweatband"
184,"Yoga Pants,Sports Bra,Moisture-Wicking T-shirt,Sweatband"
185,"Water Bottle,Gym Bag,Moisture-Wicking T-shirt,Sweatband"
186,"Gym Bag,Athletic Shorts,Running Shoes,Compression Socks"
187,"Athletic Shorts,Gym Bag,Sports Bra,Moisture-Wicking T-shirt"
188,"Yoga Pants,Running Shoes,Gym Bag,Athletic Shorts"
189,"Athletic Shorts,Water Bottle,Running Shoes,Moisture-Wicking T-shirt"
190,"Athletic Shorts,Running Shoes,Sports Bra,Moisture-Wicking T-shirt"
191,"Athletic Shorts,Running Shoes,Gym Bag,Yoga Pants"
192,"Yoga Pants,Water Bottle,Sports Bra,Compression Socks"
193,"Gym Bag,Water Bottle,Sports Bra,Sweatband"
194,"Athletic Shorts,Running Shoes,Sports Bra,Sweatband"
195,"Athletic Shorts,Running Shoes,Yoga Pants,Sweatband"
196,"Athletic Shorts,Running Shoes,Sports Bra,Yoga Pants"
197,"Sports Bra,Water Bottle,Gym Bag,Sweatband"
198,"Athletic Shorts,Running Shoes,Gym Bag,Moisture-Wicking T-shirt"
199,"Running Shoes,Compression Socks,Moisture-Wicking T-shirt"
200,"Athletic Shorts,Running Shoes,Compression Socks,Moisture-Wicking T-shirt"
