TID,ITEM_SET
148,"Milk,Butter,Soda,Chips"
149,"Bread,Eggs,Chips,Soda"
150,"Milk,Bread,Eggs,Butter"
151,"Milk,Bread,Eggs,Soda"
152,"Milk,Bread,Eggs,Butter"
153,"Apples,Chips,Soda"
154,"Diapers,Milk,Bread,Chips"
155,"Diapers,Apples,Chips,Milk"
156,"Diapers,Butter,Soda,Chips"
157,"Diapers,Milk,Bread,Soda"
158,"Diapers,Milk,Bread,Soda"
159,"Milk,Bread,Eggs,Butter"
160,"Diapers,Bread,Chips,Soda"
161,"Diapers,Milk,Chips,Soda"
162,"Diapers,Milk,Butter,Soda"
163,"Diapers,Bread,Butter,Soda"
164,"Apples,Bread,Chips,Soda"
165,"Apples,Eggs,Soda,Milk"
166,"Apples,Bread,Butter,Soda"
167,"Milk,Bread,Eggs,Butter"
168,"Diapers,Milk,Butter,Soda"
169,"Apples,Chips,Soda"
170,"Diapers,Bread,Eggs,Butter"
171,"Milk,Bread,Butter,Soda"
172,"Diapers,Bread,Eggs,Butter"
173,"Milk,Bread,Chips,Apples"
174,"Bread,Eggs,Butter,Soda"
175,"Diapers,Apples,Butter,Milk"
176,"Apples,Eggs,Chips,Soda"
177,"Apples,Bread,Eggs,Chips"
178,"Diapers,Milk,Bread,Butter"
179,"Diapers,Eggs,Chips,Soda"
180,"Eggs,Butter,Soda,Chips"
181,"Diapers,Apples,Chips,Soda"
182,"Diapers,Apples,Chips,Soda"
183,"Apples,Bread,Eggs,Butter"
184,"Diapers,Bread,Eggs,Chips"
185,"Milk,Bread,Butter,Soda"
186,"Milk,Butter,Apples,Chips"
187,"Milk,Bread,Butter,Soda"
188,"Bread,Eggs,Chips,Soda"
189,"Milk,Bread,Eggs,Soda"
190,"Diapers,Bread,Eggs,Soda"
191,"Diapers,Bread,Eggs,Chips"
192,"Milk,Eggs,Butter,Soda"
193,"Diapers,Eggs,Butter,Soda"
194,"Diapers,Bread,Butter,Chips"
195,"Bread,Eggs,Chips,Soda"
196,"Diapers,Apples,Eggs,Chips"
197,"Milk,Bread,Butter,Chips"
198,"Milk,Eggs,Butter,Chips"
199,"Milk,Bread,Butter,Chips"
200,"Milk,Bread,Eggs,Soda"
